ID,Description,Category,Duration,Download Link
07026038,"Cabin Cruiser: 27ft, 50 hp. diesel engine, in cockpit, entering lock.",Uncategorized,43041.474,https://sound-effects-media.bbcrewind.co.uk/zip/07026038.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026038
07026039,"Cabin Cruiser: 27ft, 50 hp. diesel engine, bow wave, cruising speed.",Uncategorized,182068.617,https://sound-effects-media.bbcrewind.co.uk/zip/07026039.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026039
07026033,"Cabin Cruiser: 27ft, 50 hp. diesel engine, exterior, start and depart.",Uncategorized,44003.628,https://sound-effects-media.bbcrewind.co.uk/zip/07026033.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026033
07041081,"Single-Cylinder Engine, slow down to stop. (1932, 50 h.p.)",Uncategorized,120873.107,https://sound-effects-media.bbcrewind.co.uk/zip/07041081.wav.zip?download&rename=BBC_Single_Cylinder_Engine__slow_d_07041081
07026041,"Cabin Cruiser: 27ft, 50 hp. diesel engine, stern wash, recorded near exhaust.",Uncategorized,184106.531,https://sound-effects-media.bbcrewind.co.uk/zip/07026041.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026041
07026043,"Cabin Cruiser: 27ft, 50 hp. diesel engine, exterior, departs from lock.",Uncategorized,40352.29,https://sound-effects-media.bbcrewind.co.uk/zip/07026043.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026043
07064075,"50 men rise and disperse after meeting - 1967 (73F,reprocessed)",Uncategorized,72071.837,https://sound-effects-media.bbcrewind.co.uk/zip/07064075.wav.zip?download&rename=BBC_50_men_rise_and_disperse_after_07064075
07022303,"Renault 4 saloon, exterior, passing at 50 m.p.h. (1967 model.)",Uncategorized,24643.447,https://sound-effects-media.bbcrewind.co.uk/zip/07022303.wav.zip?download&rename=BBC_Renault_4_saloon__exterior__pa_07022303
07026044,"Cabin Cruiser: 27ft, 50 hp. diesel engine, exterior,entering lock.",Uncategorized,51858.141,https://sound-effects-media.bbcrewind.co.uk/zip/07026044.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026044
NHU05014205,"Group of six men, one solo. Five chanting for first 50 seconds then mixed voices.",Uncategorized,125603.311,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05014205.wav.zip?download&rename=BBC_Group_of_six_men__one_solo__Fi_NHU05014205
07038028,"NASA Apollo Launch Pad, rocket base, saturn engine. (Recorded at 50 feet stage on tower.)",Uncategorized,62583.197,https://sound-effects-media.bbcrewind.co.uk/zip/07038028.wav.zip?download&rename=BBC_NASA_Apollo_Launch_Pad__rocket_07038028
07018013,"Luncheon party with 50 men, general atmosphere with speech & occasional cutlery & crockery sounds.",Uncategorized,419556.78,https://sound-effects-media.bbcrewind.co.uk/zip/07018013.wav.zip?download&rename=BBC_Luncheon_party_with_50_men__ge_07018013
07026031,"Cabin Cruiser: 27ft, 50 hp. diesel engine, in cabin, start, run, stop.",Uncategorized,396805.98600000003,https://sound-effects-media.bbcrewind.co.uk/zip/07026031.wav.zip?download&rename=BBC_Cabin_Cruiser__27ft__50_hp__di_07026031
07004291,"Interior, start into constant run at 50 m.p.h. (Wolseley sixteen-sixty car, 1967)",Uncategorized,382947.77800000005,https://sound-effects-media.bbcrewind.co.uk/zip/07004291.wav.zip?download&rename=BBC_Interior__start_into_constant__07004291
NHU05046163,Calls MCU of 50 birds coming into roost in rocky gully. (Surf in b/g).,Uncategorized,256185.578,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05046163.wav.zip?download&rename=BBC_Calls_MCU_of_50_birds_coming_i_NHU05046163
07010036,"Exterior, self starter, revving until 50"", tickover, switch off. (TR6 Sports Car, 1971 model)",Uncategorized,114680,https://sound-effects-media.bbcrewind.co.uk/zip/07010036.wav.zip?download&rename=BBC_Exterior__self_starter__revvin_07010036
NHU05005054,MD to CU calls from 50-60 large chicks about to fledge on beach. Gulls in distance. Surf in b/g.,Uncategorized,183415.147,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05005054.wav.zip?download&rename=BBC_MD_to_CU_calls_from_50_60_larg_NHU05005054
NHU05021137,Md flight calls from a flock of 50-60 birds. Birds calling from marsh in distance.,Uncategorized,22947.438,https://sound-effects-media.bbcrewind.co.uk/zip/NHU05021137.wav.zip?download&rename=BBC_Md_flight_calls_from_a_flock_o_NHU05021137
